Run   obj.function   <kb>          <kn>          <mlt>         <sn0>         <gw0>         <st0>         <CN1>         <CN2>         <ss1>         <ss2>         <kh>          
64    1.502093E+03  5.415522E-02  4.519203E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  7.531393E+01  8.211424E+01  1.617404E+01  7.602201E+00  1.000803E+00  
65    7.010906E+04  5.415522E-02  3.900391E-01  1.190910E-01  1.336514E+00  2.131204E+02  5.657662E+00  8.392505E+01  8.820736E+01  1.182250E+01  7.602201E+00  1.000803E+00  
66    4.550652E+03  5.415522E-02  4.519203E-01  1.190910E-01  1.336514E+00  4.461394E+01  5.657662E+00  7.531393E+01  8.820736E+01  1.182250E+01  7.602201E+00  1.006635E+00  
67    4.450118E+04  5.415522E-02  4.519203E-01  1.311033E+00  1.336514E+00  5.564724E+00  5.101160E+01  6.683016E+01  8.820736E+01  1.182250E+01  7.602201E+00  1.006635E+00  
68    1.836099E+05  5.415522E-02  4.519203E-01  1.190910E-01  1.336514E+00  5.564724E+00  1.050723E+02  7.531393E+01  8.820736E+01  1.182250E+01  7.602201E+00  1.011419E+00  
69    1.493423E+03  5.415522E-02  4.519203E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  7.531393E+01  8.820736E+01  1.398637E+01  7.602201E+00  1.011419E+00  
70    1.763724E+03  5.415522E-02  4.519203E-01  1.190910E-01  6.129800E+00  5.564724E+00  5.657662E+00  7.531393E+01  8.820736E+01  1.182250E+01  7.602201E+00  1.011419E+00  
71    2.449873E+03  5.415522E-02  4.519203E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  9.284609E+01  8.820736E+01  1.182250E+01  7.602201E+00  1.011419E+00  
72    1.460702E+03  3.960973E-02  4.519203E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  7.531393E+01  8.800939E+01  1.182250E+01  7.602201E+00  1.011419E+00  
73    4.239356E+06  3.960973E-02  4.519203E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.065940E+02  7.531393E+01  8.800939E+01  1.182250E+01  7.602201E+00  1.011419E+00  
